timestamp,free_spaces,occupied_spaces,max_spaces
2024-01-05T18:14:00,291,110,401
2024-01-05T18:25:00,288,113,401
2024-01-05T18:35:00,287,114,401
2024-01-05T18:50:00,286,115,401
2024-01-05T19:10:00,295,106,401
2024-01-05T19:25:00,289,112,401
2024-01-05T19:34:00,282,119,401
2024-01-05T19:46:00,276,125,401
2024-01-05T20:00:00,267,134,401
2024-01-05T20:10:00,265,136,401
2024-01-05T20:25:00,266,135,401
2024-01-05T20:36:00,269,132,401
2024-01-05T20:46:00,267,134,401
2024-01-05T21:01:00,270,131,401
2024-01-15T11:14:00,440,11,451
2024-01-15T11:30:00,438,13,451
2024-01-15T11:40:00,436,15,451
2024-01-15T11:49:00,434,17,451
2024-01-15T12:10:00,431,20,451
2024-01-15T12:19:00,428,23,451
2024-01-15T12:30:00,430,21,451
2024-01-15T12:44:00,432,19,451
2024-01-15T13:05:00,431,20,451
2024-01-15T13:40:00,431,20,451
2024-01-15T13:55:00,430,21,451
2024-01-15T14:20:00,432,19,451
2024-01-15T14:29:00,432,19,451
2024-01-15T14:40:00,430,21,451
2024-01-15T14:50:00,430,21,451
2024-01-15T15:15:00,423,28,451
2024-01-15T15:26:00,424,27,451
2024-01-15T15:34:00,424,27,451
2024-01-15T15:44:00,423,28,451
2024-01-15T16:05:00,425,26,451
2024-01-15T16:20:00,422,29,451
2024-01-15T16:30:00,428,23,451
2024-01-15T16:40:00,424,27,451
2024-01-15T16:56:00,420,31,451
2024-01-15T17:20:00,422,29,451
2024-01-15T17:34:00,426,25,451
2024-01-15T17:45:00,421,30,451
2024-01-15T18:01:00,421,30,451
2024-01-15T18:20:00,422,29,451
2024-01-15T18:29:00,424,27,451
2024-01-15T18:40:00,426,25,451
2024-01-15T18:55:00,425,26,451
2024-01-15T19:15:00,428,23,451
2024-01-15T19:30:00,427,24,451
2024-01-15T19:41:00,426,25,451
2024-01-15T19:50:00,426,25,451
2024-01-15T20:10:00,424,27,451
2024-01-15T20:21:00,420,31,451
2024-01-15T20:31:00,424,27,451
2024-01-15T20:40:00,419,32,451
2024-01-15T20:50:00,420,31,451
2024-01-15T21:01:00,421,30,451
2024-01-18T15:24:00,360,41,401
2024-01-18T15:35:00,362,39,401
2024-01-18T15:44:00,361,40,401
2024-01-18T16:00:00,361,40,401
2024-01-18T16:20:00,358,43,401
2024-01-18T16:29:00,358,43,401
2024-01-18T16:39:00,363,38,401
2024-01-18T16:50:00,362,39,401
2024-01-18T17:19:00,361,40,401
2024-01-18T17:35:00,358,43,401
2024-01-18T17:43:00,358,43,401
2024-01-18T17:59:00,350,51,401
2024-01-18T18:20:00,346,55,401
2024-01-18T18:30:00,346,55,401
2024-01-18T18:39:00,342,59,401
2024-01-18T18:50:00,341,60,401
2024-01-18T19:20:00,342,59,401
2024-01-18T19:30:00,339,62,401
2024-01-18T19:41:00,339,62,401
2024-01-18T19:54:00,341,60,401
2024-01-18T20:10:00,339,62,401
2024-01-18T20:21:00,338,63,401
2024-01-18T20:30:00,338,63,401
2024-01-18T20:39:00,336,65,401
2024-01-18T20:56:00,337,64,401
2024-01-18T20:59:00,337,64,401
2024-01-31T10:09:00,70,31,101
2024-01-31T11:00:00,369,32,401
2024-01-31T11:20:00,361,40,401
2024-01-31T11:30:00,357,44,401
2024-01-31T11:39:00,356,45,401
2024-01-31T11:50:00,356,45,401
2024-01-31T12:11:00,358,43,401
2024-01-31T12:20:00,359,42,401
2024-01-31T12:31:00,354,47,401
2024-01-31T12:40:00,355,46,401
2024-01-31T12:51:00,356,45,401
2024-01-31T13:26:00,357,44,401
2024-01-31T13:46:00,355,46,401
2024-01-31T14:00:00,353,48,401
2024-01-31T14:16:00,353,48,401
2024-01-31T14:25:00,354,47,401
2024-01-31T14:40:00,353,48,401
2024-01-31T14:50:00,357,44,401
2024-01-31T15:05:00,351,50,401
2024-01-31T15:19:00,350,51,401
2024-01-31T15:30:00,352,49,401
2024-01-31T15:40:00,355,46,401
2024-01-31T15:55:00,350,51,401
2024-01-31T16:09:00,351,50,401
2024-01-31T16:20:00,351,50,401
2024-01-31T16:34:00,346,55,401
2024-01-31T16:44:00,338,63,401
2024-01-31T17:04:00,328,73,401
2024-01-31T17:20:00,322,79,401
2024-01-31T17:30:00,318,83,401
2024-01-31T17:39:00,318,83,401
2024-01-31T17:49:00,317,84,401
2024-01-31T18:11:00,314,87,401
