timestamp,free_spaces,occupied_spaces,max_spaces
2024-05-13T16:30:00,364,444,808
2024-05-13T16:49:00,355,453,808
2024-05-13T17:16:00,365,443,808
2024-05-13T17:25:00,375,433,808
2024-05-13T17:34:00,374,434,808
2024-05-13T17:52:00,393,415,808
2024-05-13T18:10:00,408,400,808
2024-05-13T18:27:00,435,373,808
2024-05-13T18:41:00,444,364,808
2024-05-13T18:50:00,472,336,808
2024-05-13T19:08:00,507,301,808
2024-05-13T19:17:00,523,285,808
2024-05-13T19:34:00,545,263,808
2024-05-13T19:43:00,551,257,808
2024-05-13T20:00:00,577,231,808
2024-05-13T20:21:00,601,207,808
2024-05-13T20:29:00,602,206,808
2024-05-13T20:38:00,617,191,808
2024-05-13T20:55:00,625,183,808
2024-05-13T20:59:00,630,178,808
2024-05-14T09:08:00,421,387,808
2024-05-14T09:25:00,398,410,808
2024-05-14T09:34:00,379,429,808
2024-05-14T09:42:00,356,452,808
2024-05-14T10:04:00,281,527,808
2024-05-14T10:25:00,250,558,808
2024-05-14T10:34:00,230,578,808
2024-05-14T10:43:00,223,585,808
2024-05-14T11:05:00,201,607,808
2024-05-14T11:18:00,192,616,808
2024-05-14T11:31:00,201,607,808
2024-05-14T11:39:00,203,605,808
2024-05-14T11:48:00,208,600,808
2024-05-14T12:14:00,244,564,808
2024-05-14T12:27:00,248,560,808
2024-05-14T12:40:00,270,538,808
2024-05-14T12:49:00,272,536,808
2024-05-14T13:10:00,369,439,808
2024-05-14T13:19:00,380,428,808
2024-05-14T13:27:00,380,428,808
2024-05-14T13:40:00,377,431,808
2024-05-14T13:53:00,370,438,808
2024-05-14T14:28:00,376,432,808
2024-05-14T14:50:00,389,419,808
2024-05-14T15:15:00,394,414,808
2024-05-14T16:37:00,368,440,808
2024-05-14T16:54:00,347,461,808
2024-05-14T17:15:00,365,443,808
2024-05-14T17:28:00,365,443,808
2024-05-14T17:41:00,364,444,808
2024-05-14T17:49:00,379,429,808
2024-05-14T18:19:00,423,385,808
2024-05-14T18:36:00,453,355,808
2024-05-14T18:45:00,452,356,808
2024-05-14T18:58:00,480,328,808
2024-05-14T19:15:00,504,304,808
2024-05-14T19:28:00,519,289,808
2024-05-14T19:41:00,540,268,808
2024-05-14T19:49:00,539,269,808
2024-05-14T20:20:00,570,238,808
2024-05-14T20:28:00,578,230,808
2024-05-14T20:37:00,589,219,808
2024-05-14T20:50:00,596,212,808
2024-05-14T20:58:00,604,204,808
2024-05-15T09:05:00,451,357,808
2024-05-15T09:14:00,436,372,808
2024-05-15T09:31:00,393,415,808
2024-05-15T09:39:00,368,440,808
2024-05-15T09:48:00,359,449,808
2024-05-15T10:18:00,264,544,808
2024-05-15T10:27:00,240,568,808
2024-05-15T10:40:00,201,607,808
2024-05-15T10:48:00,178,630,808
2024-05-15T11:14:00,147,661,808
2024-05-15T11:22:00,151,657,808
2024-05-15T11:39:00,155,653,808
2024-05-15T11:48:00,152,656,808
2024-05-15T12:09:00,157,651,808
2024-05-15T12:22:00,182,626,808
2024-05-15T12:35:00,199,609,808
2024-05-15T12:44:00,217,591,808
2024-05-15T13:05:00,278,530,808
2024-05-15T13:13:00,321,487,808
2024-05-15T13:22:00,336,472,808
2024-05-15T13:35:00,339,469,808
2024-05-15T13:48:00,337,471,808
2024-05-15T14:18:00,370,438,808
2024-05-15T14:43:00,365,443,808
2024-05-15T15:04:00,395,413,808
2024-05-15T15:17:00,417,391,808
2024-05-15T15:30:00,413,395,808
2024-05-15T15:39:00,401,407,808
2024-05-15T15:56:00,397,411,808
2024-05-15T16:13:00,363,445,808
2024-05-15T16:26:00,345,463,808
2024-05-15T16:39:00,331,477,808
2024-05-15T16:47:00,329,479,808
2024-05-15T17:09:00,333,475,808
2024-05-15T17:17:00,332,476,808
