timestamp,free_spaces,occupied_spaces,max_spaces
2023-10-24T19:50:00,171,79,250
2023-10-24T20:30:00,179,71,250
2023-10-24T20:50:00,176,74,250
2023-10-24T20:56:00,178,72,250
2023-10-24T21:01:00,176,74,250
2023-10-25T15:05:00,23,147,170
2023-10-25T15:35:00,25,145,170
2023-10-25T15:40:00,24,146,170
2023-10-25T15:45:00,21,149,170
2023-10-25T15:50:00,26,144,170
2023-10-25T15:55:00,23,147,170
2023-10-25T16:09:00,13,157,170
2023-10-25T16:20:00,11,159,170
2023-10-25T16:24:00,5,165,170
2023-10-25T16:29:00,4,166,170
2023-10-25T16:34:00,1,169,170
2023-10-25T16:41:00,2,168,170
2023-10-25T16:44:00,0,170,170
2023-10-25T16:49:00,0,170,170
2023-10-25T17:05:00,12,158,170
2023-10-25T17:15:00,18,152,170
2023-10-25T17:20:00,19,151,170
2023-10-25T17:25:00,27,143,170
2023-10-25T17:29:00,29,141,170
2023-10-25T17:35:00,27,143,170
2023-10-25T17:39:00,27,143,170
2023-10-25T17:56:00,28,142,170
2023-10-25T18:10:00,120,130,250
2023-10-25T18:20:00,130,120,250
2023-10-25T18:29:00,129,121,250
2023-10-25T18:34:00,130,120,250
2023-10-25T18:41:00,131,119,250
2023-10-25T18:45:00,134,116,250
2023-10-25T18:51:00,141,109,250
2023-10-25T18:55:00,143,107,250
2023-10-25T19:14:00,142,108,250
2023-10-25T19:19:00,140,110,250
2023-10-25T19:25:00,135,115,250
2023-10-25T19:31:00,131,119,250
2023-10-25T19:36:00,130,120,250
2023-10-25T19:40:00,128,122,250
2023-10-25T19:45:00,124,126,250
2023-10-25T19:50:00,128,122,250
2023-10-25T20:05:00,136,114,250
2023-10-25T20:19:00,150,100,250
2023-10-25T20:26:00,152,98,250
2023-10-25T20:31:00,155,95,250
2023-10-25T20:35:00,156,94,250
2023-10-25T20:40:00,159,91,250
2023-10-25T20:46:00,163,87,250
2023-10-25T20:51:00,169,81,250
2023-10-25T21:00:00,178,72,250
2023-10-26T09:00:00,99,71,170
2023-10-26T09:11:00,97,73,170
2023-10-26T09:15:00,97,73,170
2023-10-26T09:20:00,94,76,170
2023-10-26T09:26:00,94,76,170
2023-10-26T09:31:00,95,75,170
2023-10-26T09:36:00,93,77,170
2023-10-26T09:40:00,94,76,170
2023-10-26T09:45:00,95,75,170
2023-10-26T09:51:00,92,78,170
2023-10-26T10:11:00,84,86,170
2023-10-26T10:20:00,80,90,170
2023-10-26T10:26:00,80,90,170
2023-10-26T10:31:00,74,96,170
2023-10-26T10:36:00,69,101,170
2023-10-26T10:41:00,70,100,170
2023-10-26T10:45:00,67,103,170
2023-10-26T10:51:00,66,104,170
2023-10-26T11:05:00,64,106,170
2023-10-26T11:16:00,58,112,170
2023-10-26T11:21:00,56,114,170
2023-10-26T11:26:00,58,112,170
2023-10-26T11:29:00,57,113,170
2023-10-26T11:34:00,55,115,170
2023-10-26T11:39:00,55,115,170
2023-10-26T11:45:00,53,117,170
2023-10-26T11:49:00,56,114,170
2023-10-26T12:04:00,56,114,170
2023-10-26T12:20:00,54,116,170
2023-10-26T12:25:00,58,112,170
2023-10-26T12:30:00,56,114,170
2023-10-26T12:35:00,61,109,170
2023-10-26T12:39:00,64,106,170
2023-10-26T12:44:00,66,104,170
2023-10-26T12:49:00,66,104,170
2023-10-26T13:00:00,65,105,170
2023-10-26T13:10:00,64,106,170
2023-10-26T13:14:00,67,103,170
2023-10-26T13:19:00,67,103,170
2023-10-26T13:25:00,68,102,170
2023-10-26T13:30:00,63,107,170
2023-10-26T13:35:00,60,110,170
2023-10-26T13:40:00,55,115,170
2023-10-26T13:44:00,53,117,170
2023-10-26T13:54:00,49,121,170
2023-10-26T14:15:00,40,130,170
2023-10-26T14:40:00,23,147,170
2023-10-26T14:50:00,23,147,170
2023-10-26T15:06:00,25,145,170
2023-10-26T15:20:00,27,143,170
2023-10-26T15:25:00,25,145,170
2023-10-26T15:30:00,23,147,170
2023-10-26T15:34:00,25,145,170
2023-10-26T15:39:00,21,149,170
2023-10-26T15:46:00,20,150,170
2023-10-26T15:50:00,19,151,170
2023-10-26T16:05:00,22,148,170
2023-10-26T16:15:00,27,143,170
2023-10-26T16:24:00,22,148,170
2023-10-26T16:30:00,16,154,170
2023-10-26T16:35:00,16,154,170
2023-10-26T16:40:00,23,147,170
2023-10-26T16:44:00,24,146,170
2023-10-26T16:51:00,25,145,170
2023-10-26T17:01:00,22,148,170
2023-10-26T17:10:00,22,148,170
2023-10-26T17:20:00,27,143,170
2023-10-26T17:24:00,30,140,170
2023-10-26T17:30:00,32,138,170
2023-10-26T17:35:00,34,136,170
2023-10-26T17:39:00,37,133,170
2023-10-26T17:45:00,40,130,170
2023-10-26T17:51:00,45,125,170
2023-10-26T18:06:00,126,124,250
2023-10-26T18:20:00,137,113,250
2023-10-26T18:30:00,143,107,250
2023-10-26T18:35:00,143,107,250
2023-10-26T18:40:00,146,104,250
2023-10-26T18:45:00,155,95,250
2023-10-26T18:50:00,152,98,250
2023-10-26T19:01:00,151,99,250
2023-10-26T19:11:00,157,93,250
2023-10-26T19:21:00,160,90,250
2023-10-26T19:25:00,156,94,250
2023-10-26T19:30:00,159,91,250
2023-10-26T19:35:00,156,94,250
2023-10-26T19:40:00,153,97,250
2023-10-26T19:46:00,148,102,250
2023-10-26T19:51:00,144,106,250
2023-10-26T20:05:00,132,118,250
2023-10-26T20:21:00,129,121,250
2023-10-26T20:25:00,128,122,250
2023-10-26T20:30:00,127,123,250
2023-10-26T20:35:00,126,124,250
2023-10-26T20:41:00,129,121,250
2023-10-26T20:46:00,130,120,250
2023-10-26T20:51:00,135,115,250
2023-10-26T21:00:00,137,113,250
2023-10-27T09:05:00,107,63,170
2023-10-27T09:10:00,106,64,170
2023-10-27T09:15:00,105,65,170
2023-10-27T09:21:00,104,66,170
2023-10-27T09:26:00,100,70,170
2023-10-27T09:31:00,92,78,170
2023-10-27T09:36:00,93,77,170
2023-10-27T09:45:00,85,85,170
2023-10-27T09:50:00,83,87,170
2023-10-27T10:00:00,80,90,170
2023-10-27T10:15:00,79,91,170
2023-10-27T10:26:00,78,92,170
2023-10-27T10:31:00,77,93,170
2023-10-27T10:36:00,76,94,170
2023-10-27T10:41:00,74,96,170
2023-10-27T10:46:00,73,97,170
2023-10-27T10:50:00,70,100,170
2023-10-27T11:00:00,65,105,170
