timestamp,name,free_spaces,max_spaces,occupied_spaces
04112023-1000,Am Bahnhof,193,242,49
09112023-1846,Am Bahnhof,180,242,62
12112023-1730,Am Bahnhof,179,242,63
08112023-1415,Am Bahnhof,158,242,84
07112023-1431,Am Bahnhof,164,242,78
11112023-0930,Am Bahnhof,184,242,58
18112023-1120,Am Bahnhof,160,242,82
02112023-1019,Am Bahnhof,158,242,84
05112023-1501,Am Bahnhof,147,242,95
01112023-2040,Am Bahnhof,208,242,34
12112023-1140,Am Bahnhof,149,242,93
26102023-1134,Am Bahnhof,93,242,149
29102023-2050,Am Bahnhof,205,242,37
17112023-2030,Am Bahnhof,151,242,91
19112023-1721,Am Bahnhof,193,242,49
30102023-2044,Am Bahnhof,199,242,43
08112023-1725,Am Bahnhof,184,242,58
16112023-0941,Am Bahnhof,162,242,80
20112023-1321,Am Bahnhof,169,242,73
05112023-1121,Am Bahnhof,158,242,84
17112023-1225,Am Bahnhof,166,242,76
11112023-1425,Am Bahnhof,144,242,98
28102023-1335,Am Bahnhof,135,242,107
19112023-0951,Am Bahnhof,204,242,38
11112023-1955,Am Bahnhof,157,242,85
12112023-2040,Am Bahnhof,209,242,33
15112023-1619,Am Bahnhof,166,242,76
11112023-1935,Am Bahnhof,163,242,79
31102023-1944,Am Bahnhof,219,242,23
25102023-1609,Am Bahnhof,136,242,106
18112023-1226,Am Bahnhof,155,242,87
19112023-1756,Am Bahnhof,197,242,45
05112023-1436,Am Bahnhof,146,242,96
26102023-1020,Am Bahnhof,142,242,100
27102023-1800,Am Bahnhof,172,242,70
04112023-1835,Am Bahnhof,183,242,59
15112023-2040,Am Bahnhof,189,242,53
17112023-1529,Am Bahnhof,175,242,67
04112023-1145,Am Bahnhof,169,242,73
31102023-1216,Am Bahnhof,155,242,87
01112023-0951,Am Bahnhof,184,242,58
14112023-1821,Am Bahnhof,170,242,72
10112023-1315,Am Bahnhof,158,242,84
07112023-1550,Am Bahnhof,168,242,74
16112023-1220,Am Bahnhof,156,242,86
27102023-1139,Am Bahnhof,117,242,125
13112023-1140,Am Bahnhof,166,242,76
04112023-2050,Am Bahnhof,168,242,74
01112023-1059,Am Bahnhof,184,242,58
20112023-0935,Am Bahnhof,182,242,60
14112023-1559,Am Bahnhof,152,242,90
19112023-0920,Am Bahnhof,210,242,32
26102023-1901,Am Bahnhof,174,242,68
12112023-1946,Am Bahnhof,201,242,41
04112023-1920,Am Bahnhof,171,242,71
08112023-1139,Am Bahnhof,167,242,75
29102023-1231,Am Bahnhof,123,242,119
27102023-1900,Am Bahnhof,182,242,60
20112023-1441,Am Bahnhof,157,242,85
02112023-1105,Am Bahnhof,148,242,94
25102023-1841,Am Bahnhof,185,242,57
30102023-1120,Am Bahnhof,162,242,80
18112023-0904,Am Bahnhof,198,242,44
28102023-2026,Am Bahnhof,154,242,88
31102023-2025,Am Bahnhof,217,242,25
18112023-1450,Am Bahnhof,137,242,105
26102023-1230,Am Bahnhof,94,242,148
29102023-1751,Am Bahnhof,179,242,63
08112023-1550,Am Bahnhof,166,242,76
26102023-1946,Am Bahnhof,179,242,63
28102023-1125,Am Bahnhof,159,242,83
12112023-1600,Am Bahnhof,160,242,82
31102023-1644,Am Bahnhof,186,242,56
28102023-0936,Am Bahnhof,198,242,44
30102023-1955,Am Bahnhof,202,242,40
02112023-1139,Am Bahnhof,151,242,91
01112023-1625,Am Bahnhof,169,242,73
03112023-1420,Am Bahnhof,163,242,79
05112023-1639,Am Bahnhof,169,242,73
14112023-1201,Am Bahnhof,127,242,115
30102023-1650,Am Bahnhof,186,242,56
07112023-2035,Am Bahnhof,208,242,34
01112023-1241,Am Bahnhof,184,242,58
26102023-1640,Am Bahnhof,136,242,106
27102023-1540,Am Bahnhof,116,242,126
18112023-1436,Am Bahnhof,139,242,103
19112023-1550,Am Bahnhof,179,242,63
27102023-1821,Am Bahnhof,176,242,66
10112023-1146,Am Bahnhof,156,242,86
15112023-1221,Am Bahnhof,143,242,99
13112023-1136,Am Bahnhof,163,242,79
27102023-0921,Am Bahnhof,183,242,59
05112023-1609,Am Bahnhof,157,242,85
16112023-2020,Am Bahnhof,189,242,53
16112023-1436,Am Bahnhof,162,242,80
08112023-1944,Am Bahnhof,194,242,48
31102023-1030,Am Bahnhof,157,242,85
26102023-1530,Am Bahnhof,95,242,147
19112023-1225,Am Bahnhof,166,242,76
20112023-2040,Am Bahnhof,202,242,40
04112023-1930,Am Bahnhof,169,242,73
28102023-1315,Am Bahnhof,133,242,109
11112023-1436,Am Bahnhof,144,242,98
13112023-1005,Am Bahnhof,163,242,79
12112023-1239,Am Bahnhof,144,242,98
02112023-1135,Am Bahnhof,150,242,92
28102023-1845,Am Bahnhof,166,242,76
02112023-1806,Am Bahnhof,200,242,42
14112023-1425,Am Bahnhof,145,242,97
27102023-2041,Am Bahnhof,166,242,76
03112023-1815,Am Bahnhof,190,242,52
30102023-1350,Am Bahnhof,162,242,80
29102023-1051,Am Bahnhof,149,242,93
10112023-2055,Am Bahnhof,172,242,70
19112023-1825,Am Bahnhof,203,242,39
08112023-2044,Am Bahnhof,200,242,42
10112023-0930,Am Bahnhof,166,242,76
25102023-2040,Am Bahnhof,199,242,43
05112023-1940,Am Bahnhof,197,242,45
19112023-1520,Am Bahnhof,179,242,63
27102023-0936,Am Bahnhof,181,242,61
31102023-1914,Am Bahnhof,217,242,25
31102023-1230,Am Bahnhof,153,242,89
17112023-2101,Am Bahnhof,153,242,89
31102023-1221,Am Bahnhof,153,242,89
08112023-1044,Am Bahnhof,163,242,79
06112023-1135,Am Bahnhof,165,242,77
30102023-1644,Am Bahnhof,186,242,56
11112023-0906,Am Bahnhof,185,242,57
20112023-1900,Am Bahnhof,208,242,34
18112023-1031,Am Bahnhof,179,242,63
29102023-2036,Am Bahnhof,205,242,37
04112023-1440,Am Bahnhof,141,242,101
10112023-1740,Am Bahnhof,174,242,68
19112023-1546,Am Bahnhof,178,242,64
10112023-0949,Am Bahnhof,162,242,80
04112023-1839,Am Bahnhof,181,242,61
02112023-1231,Am Bahnhof,148,242,94
03112023-1441,Am Bahnhof,164,242,78
29102023-1721,Am Bahnhof,170,242,72
30102023-1050,Am Bahnhof,165,242,77
15112023-1041,Am Bahnhof,137,242,105
16112023-1145,Am Bahnhof,158,242,84
30102023-0919,Am Bahnhof,181,242,61
12112023-1711,Am Bahnhof,173,242,69
15112023-0946,Am Bahnhof,144,242,98
19112023-0935,Am Bahnhof,207,242,35
15112023-1155,Am Bahnhof,139,242,103
02112023-1430,Am Bahnhof,158,242,84
17112023-1734,Am Bahnhof,188,242,54
16112023-2050,Am Bahnhof,188,242,54
08112023-1120,Am Bahnhof,164,242,78
18112023-1621,Am Bahnhof,150,242,92
12112023-0901,Am Bahnhof,190,242,52
26102023-1635,Am Bahnhof,134,242,108
02112023-1334,Am Bahnhof,153,242,89
13112023-1250,Am Bahnhof,172,242,70
20112023-2050,Am Bahnhof,202,242,40
29102023-1650,Am Bahnhof,155,242,87
28102023-1735,Am Bahnhof,162,242,80
14112023-1131,Am Bahnhof,125,242,117
28102023-2051,Am Bahnhof,157,242,85
05112023-1820,Am Bahnhof,198,242,44
28102023-1801,Am Bahnhof,168,242,74
30102023-1426,Am Bahnhof,164,242,78
19112023-1435,Am Bahnhof,173,242,69
13112023-1051,Am Bahnhof,158,242,84
07112023-1521,Am Bahnhof,165,242,77
09112023-1645,Am Bahnhof,173,242,69
25102023-1545,Am Bahnhof,113,242,129
17112023-1446,Am Bahnhof,168,242,74
03112023-0945,Am Bahnhof,188,242,54
13112023-1921,Am Bahnhof,206,242,36
19112023-1250,Am Bahnhof,169,242,73
05112023-2011,Am Bahnhof,202,242,40
30102023-1734,Am Bahnhof,200,242,42
15112023-1204,Am Bahnhof,139,242,103
08112023-1541,Am Bahnhof,164,242,78
29102023-1451,Am Bahnhof,137,242,105
16112023-1930,Am Bahnhof,186,242,56
28102023-1339,Am Bahnhof,134,242,108
28102023-1935,Am Bahnhof,161,242,81
16112023-2009,Am Bahnhof,188,242,54
10112023-1231,Am Bahnhof,162,242,80
12112023-1900,Am Bahnhof,200,242,42
16112023-1614,Am Bahnhof,186,242,56
08112023-1235,Am Bahnhof,167,242,75
28102023-1746,Am Bahnhof,163,242,79
08112023-1225,Am Bahnhof,167,242,75
14112023-1931,Am Bahnhof,164,242,78
14112023-1220,Am Bahnhof,127,242,115
07112023-1825,Am Bahnhof,196,242,46
24102023-2050,Am Bahnhof,205,242,37
25102023-1555,Am Bahnhof,124,242,118
18112023-1839,Am Bahnhof,161,242,81
10112023-1730,Am Bahnhof,174,242,68
06112023-1015,Am Bahnhof,169,242,73
26102023-1925,Am Bahnhof,175,242,67
27102023-1625,Am Bahnhof,142,242,100
14112023-1120,Am Bahnhof,126,242,116
06112023-1844,Am Bahnhof,212,242,30
11112023-1625,Am Bahnhof,161,242,81
05112023-1835,Am Bahnhof,198,242,44
17112023-1430,Am Bahnhof,170,242,72
10112023-1210,Am Bahnhof,158,242,84
15112023-1845,Am Bahnhof,177,242,65
08112023-1000,Am Bahnhof,165,242,77
26102023-1139,Am Bahnhof,93,242,149
25102023-1720,Am Bahnhof,163,242,79
19112023-1044,Am Bahnhof,182,242,60
31102023-1840,Am Bahnhof,213,242,29
12112023-1439,Am Bahnhof,163,242,79
18112023-1605,Am Bahnhof,145,242,97
30102023-1021,Am Bahnhof,171,242,71
15112023-1210,Am Bahnhof,139,242,103
05112023-2025,Am Bahnhof,204,242,38
25102023-2005,Am Bahnhof,197,242,45
04112023-0905,Am Bahnhof,202,242,40
02112023-1151,Am Bahnhof,149,242,93
27102023-1720,Am Bahnhof,161,242,81
15112023-1545,Am Bahnhof,160,242,82
25102023-1950,Am Bahnhof,194,242,48
06112023-1055,Am Bahnhof,165,242,77
09112023-2030,Am Bahnhof,193,242,49
09112023-1126,Am Bahnhof,148,242,94
03112023-1014,Am Bahnhof,192,242,50
25102023-1620,Am Bahnhof,147,242,95
08112023-1820,Am Bahnhof,195,242,47
29102023-1500,Am Bahnhof,141,242,101
09112023-1651,Am Bahnhof,173,242,69
31102023-1150,Am Bahnhof,151,242,91
26102023-1935,Am Bahnhof,177,242,65
27102023-1435,Am Bahnhof,108,242,134
11112023-1429,Am Bahnhof,144,242,98
20112023-1545,Am Bahnhof,163,242,79
04112023-1311,Am Bahnhof,163,242,79
11112023-1451,Am Bahnhof,145,242,97
14112023-1515,Am Bahnhof,153,242,89
16112023-1650,Am Bahnhof,195,242,47
29102023-1845,Am Bahnhof,192,242,50
12112023-1720,Am Bahnhof,177,242,65
31102023-1740,Am Bahnhof,202,242,40
26102023-1249,Am Bahnhof,94,242,148
08112023-1544,Am Bahnhof,165,242,77
29102023-1241,Am Bahnhof,124,242,118
31102023-0906,Am Bahnhof,168,242,74
17112023-1421,Am Bahnhof,174,242,68
16112023-1000,Am Bahnhof,160,242,82
20112023-1501,Am Bahnhof,157,242,85
30102023-1105,Am Bahnhof,165,242,77
06112023-1445,Am Bahnhof,184,242,58
09112023-2034,Am Bahnhof,194,242,48
25102023-1550,Am Bahnhof,117,242,125
19112023-1315,Am Bahnhof,169,242,73
11112023-1020,Am Bahnhof,171,242,71
18112023-1415,Am Bahnhof,144,242,98
14112023-1249,Am Bahnhof,136,242,106
02112023-0920,Am Bahnhof,165,242,77
29102023-2020,Am Bahnhof,203,242,39
10112023-1950,Am Bahnhof,166,242,76
11112023-1901,Am Bahnhof,163,242,79
10112023-1150,Am Bahnhof,155,242,87
20112023-1355,Am Bahnhof,158,242,84
01112023-1049,Am Bahnhof,184,242,58
15112023-0951,Am Bahnhof,145,242,97
01112023-0920,Am Bahnhof,184,242,58
15112023-2049,Am Bahnhof,187,242,55
11112023-2046,Am Bahnhof,160,242,82
04112023-1820,Am Bahnhof,181,242,61
13112023-1734,Am Bahnhof,202,242,40
02112023-1250,Am Bahnhof,149,242,93
06112023-1030,Am Bahnhof,170,242,72
25102023-1931,Am Bahnhof,191,242,51
20112023-1045,Am Bahnhof,157,242,85
31102023-2100,Am Bahnhof,216,242,26
16112023-1940,Am Bahnhof,187,242,55
06112023-1945,Am Bahnhof,206,242,36
17112023-1849,Am Bahnhof,176,242,66
03112023-1424,Am Bahnhof,165,242,77
03112023-1124,Am Bahnhof,174,242,68
16112023-2000,Am Bahnhof,187,242,55
30102023-1336,Am Bahnhof,160,242,82
26102023-1415,Am Bahnhof,84,242,158
25102023-1735,Am Bahnhof,168,242,74
01112023-1045,Am Bahnhof,184,242,58
31102023-1556,Am Bahnhof,169,242,73
13112023-1954,Am Bahnhof,203,242,39
04112023-1530,Am Bahnhof,142,242,100
28102023-1451,Am Bahnhof,132,242,110
29102023-0956,Am Bahnhof,183,242,59
04112023-1131,Am Bahnhof,171,242,71
29102023-1944,Am Bahnhof,197,242,45
02112023-1044,Am Bahnhof,154,242,88
30102023-1519,Am Bahnhof,176,242,66
29102023-1535,Am Bahnhof,141,242,101
06112023-1141,Am Bahnhof,165,242,77
16112023-1920,Am Bahnhof,188,242,54
04112023-1031,Am Bahnhof,184,242,58
31102023-1335,Am Bahnhof,157,242,85
19112023-2040,Am Bahnhof,220,242,22
31102023-1046,Am Bahnhof,155,242,87
18112023-1214,Am Bahnhof,156,242,86
28102023-1626,Am Bahnhof,141,242,101
20112023-1730,Am Bahnhof,195,242,47
09112023-1550,Am Bahnhof,169,242,73
08112023-1641,Am Bahnhof,171,242,71
27102023-0931,Am Bahnhof,180,242,62
07112023-1640,Am Bahnhof,186,242,56
03112023-1036,Am Bahnhof,184,242,58
08112023-1525,Am Bahnhof,164,242,78
10112023-1059,Am Bahnhof,155,242,87
27102023-2025,Am Bahnhof,164,242,78
26102023-0920,Am Bahnhof,165,242,77
26102023-1340,Am Bahnhof,94,242,148
05112023-1815,Am Bahnhof,198,242,44
12112023-1811,Am Bahnhof,195,242,47
15112023-1030,Am Bahnhof,140,242,102
30102023-1040,Am Bahnhof,165,242,77
16112023-1849,Am Bahnhof,189,242,53
17112023-0951,Am Bahnhof,164,242,78
05112023-1200,Am Bahnhof,151,242,91
14112023-2051,Am Bahnhof,177,242,65
31102023-2029,Am Bahnhof,216,242,26
01112023-1535,Am Bahnhof,153,242,89
11112023-1415,Am Bahnhof,142,242,100
01112023-2015,Am Bahnhof,203,242,39
04112023-1850,Am Bahnhof,178,242,64
26102023-1735,Am Bahnhof,158,242,84
26102023-1751,Am Bahnhof,160,242,82
08112023-1751,Am Bahnhof,185,242,57
06112023-1646,Am Bahnhof,202,242,40
11112023-1550,Am Bahnhof,153,242,89
28102023-1920,Am Bahnhof,158,242,84
05112023-1730,Am Bahnhof,181,242,61
10112023-2021,Am Bahnhof,164,242,78
27102023-2015,Am Bahnhof,165,242,77
19112023-1200,Am Bahnhof,167,242,75
30102023-1619,Am Bahnhof,182,242,60
12112023-1545,Am Bahnhof,158,242,84
12112023-1445,Am Bahnhof,162,242,80
07112023-1120,Am Bahnhof,153,242,89
05112023-1235,Am Bahnhof,149,242,93
20112023-1809,Am Bahnhof,199,242,43
13112023-1145,Am Bahnhof,169,242,73
11112023-1916,Am Bahnhof,162,242,80
26102023-1239,Am Bahnhof,95,242,147
02112023-1821,Am Bahnhof,203,242,39
06112023-1850,Am Bahnhof,208,242,34
17112023-1020,Am Bahnhof,160,242,82
10112023-1430,Am Bahnhof,159,242,83
06112023-1025,Am Bahnhof,170,242,72
25102023-1820,Am Bahnhof,180,242,62
15112023-1659,Am Bahnhof,175,242,67
03112023-1149,Am Bahnhof,168,242,74
06112023-1555,Am Bahnhof,194,242,48
06112023-1611,Am Bahnhof,199,242,43
19112023-1915,Am Bahnhof,214,242,28
26102023-1550,Am Bahnhof,104,242,138
26102023-1045,Am Bahnhof,126,242,116
12112023-0926,Am Bahnhof,187,242,55
04112023-1750,Am Bahnhof,174,242,68
06112023-1900,Am Bahnhof,207,242,35
02112023-1601,Am Bahnhof,172,242,70
04112023-2040,Am Bahnhof,169,242,73
27102023-1331,Am Bahnhof,105,242,137
12112023-1955,Am Bahnhof,201,242,41
25102023-1845,Am Bahnhof,186,242,56
18112023-1250,Am Bahnhof,152,242,90
19112023-1940,Am Bahnhof,214,242,28
29102023-1429,Am Bahnhof,137,242,105
12112023-0945,Am Bahnhof,182,242,60
20112023-1224,Am Bahnhof,168,242,74
04112023-1420,Am Bahnhof,150,242,92
11112023-1519,Am Bahnhof,150,242,92
29102023-1510,Am Bahnhof,140,242,102
04112023-2010,Am Bahnhof,165,242,77
31102023-1735,Am Bahnhof,202,242,40
15112023-1520,Am Bahnhof,152,242,90
08112023-0924,Am Bahnhof,173,242,69
26102023-1300,Am Bahnhof,94,242,148
18112023-1150,Am Bahnhof,157,242,85
