timestamp,name,free_spaces,max_spaces,occupied_spaces
04112023-1000,Karstadt,585,695,110
09112023-1846,Karstadt,619,695,76
12112023-1730,Karstadt,0,0,0
08112023-1415,Karstadt,464,695,231
07112023-1431,Karstadt,501,695,194
11112023-0930,Karstadt,623,695,72
18112023-1120,Karstadt,413,695,282
02112023-1019,Karstadt,528,695,167
05112023-1501,Karstadt,0,0,0
01112023-2040,Karstadt,0,0,0
12112023-1140,Karstadt,0,0,0
26102023-1134,Karstadt,377,695,318
29102023-2050,Karstadt,0,0,0
17112023-2030,Karstadt,0,0,0
19112023-1721,Karstadt,0,0,0
30102023-2044,Karstadt,0,0,0
08112023-1725,Karstadt,578,695,117
16112023-0941,Karstadt,575,695,120
20112023-1321,Karstadt,462,695,233
05112023-1121,Karstadt,0,0,0
17112023-1225,Karstadt,455,695,240
11112023-1425,Karstadt,344,695,351
28102023-1335,Karstadt,397,695,298
19112023-0951,Karstadt,0,0,0
11112023-1955,Karstadt,0,0,0
12112023-2040,Karstadt,0,0,0
15112023-1619,Karstadt,508,695,187
11112023-1935,Karstadt,0,0,0
31102023-1944,Karstadt,0,0,0
25102023-1609,Karstadt,421,695,274
18112023-1226,Karstadt,345,695,350
19112023-1756,Karstadt,0,0,0
05112023-1436,Karstadt,0,0,0
26102023-1020,Karstadt,454,695,241
27102023-1800,Karstadt,466,695,229
04112023-1835,Karstadt,0,0,0
15112023-2040,Karstadt,0,0,0
17112023-1529,Karstadt,499,695,196
04112023-1145,Karstadt,394,695,301
31102023-1216,Karstadt,487,695,208
01112023-0951,Karstadt,552,695,143
14112023-1821,Karstadt,599,695,96
10112023-1315,Karstadt,495,695,200
07112023-1550,Karstadt,520,695,175
16112023-1220,Karstadt,457,695,238
27102023-1139,Karstadt,382,695,313
13112023-1140,Karstadt,457,695,238
04112023-2050,Karstadt,0,0,0
01112023-1059,Karstadt,447,695,248
20112023-0935,Karstadt,575,695,120
14112023-1559,Karstadt,483,695,212
19112023-0920,Karstadt,0,0,0
26102023-1901,Karstadt,577,695,118
12112023-1946,Karstadt,0,0,0
04112023-1920,Karstadt,0,0,0
08112023-1139,Karstadt,421,695,274
29102023-1231,Karstadt,0,0,0
27102023-1900,Karstadt,576,695,119
20112023-1441,Karstadt,446,695,249
02112023-1105,Karstadt,478,695,217
25102023-1841,Karstadt,553,695,142
30102023-1120,Karstadt,463,695,232
18112023-0904,Karstadt,643,695,52
28102023-2026,Karstadt,0,0,0
31102023-2025,Karstadt,0,0,0
18112023-1450,Karstadt,324,695,371
26102023-1230,Karstadt,376,695,319
29102023-1751,Karstadt,0,0,0
08112023-1550,Karstadt,511,695,184
26102023-1946,Karstadt,0,0,0
28102023-1125,Karstadt,397,695,298
12112023-1600,Karstadt,0,0,0
31102023-1644,Karstadt,557,695,138
28102023-0936,Karstadt,546,695,149
30102023-1955,Karstadt,0,0,0
02112023-1139,Karstadt,465,695,230
01112023-1625,Karstadt,486,695,209
03112023-1420,Karstadt,520,695,175
05112023-1639,Karstadt,0,0,0
14112023-1201,Karstadt,478,695,217
30102023-1650,Karstadt,557,695,138
07112023-2035,Karstadt,0,0,0
01112023-1241,Karstadt,410,695,285
26102023-1640,Karstadt,419,695,276
27102023-1540,Karstadt,385,695,310
18112023-1436,Karstadt,322,695,373
19112023-1550,Karstadt,0,0,0
27102023-1821,Karstadt,509,695,186
10112023-1146,Karstadt,467,695,228
15112023-1221,Karstadt,451,695,244
13112023-1136,Karstadt,460,695,235
27102023-0921,Karstadt,548,695,147
05112023-1609,Karstadt,0,0,0
16112023-2020,Karstadt,0,0,0
16112023-1436,Karstadt,487,695,208
08112023-1944,Karstadt,0,0,0
31102023-1030,Karstadt,537,695,158
26102023-1530,Karstadt,403,695,292
19112023-1225,Karstadt,0,0,0
20112023-2040,Karstadt,0,0,0
04112023-1930,Karstadt,0,0,0
28102023-1315,Karstadt,397,695,298
11112023-1436,Karstadt,343,695,352
13112023-1005,Karstadt,521,695,174
12112023-1239,Karstadt,0,0,0
02112023-1135,Karstadt,472,695,223
28102023-1845,Karstadt,0,0,0
02112023-1806,Karstadt,600,695,95
14112023-1425,Karstadt,481,695,214
27102023-2041,Karstadt,0,0,0
03112023-1815,Karstadt,598,695,97
30102023-1350,Karstadt,502,695,193
29102023-1051,Karstadt,0,0,0
10112023-2055,Karstadt,0,0,0
19112023-1825,Karstadt,0,0,0
08112023-2044,Karstadt,0,0,0
10112023-0930,Karstadt,596,695,99
25102023-2040,Karstadt,0,0,0
05112023-1940,Karstadt,0,0,0
19112023-1520,Karstadt,0,0,0
27102023-0936,Karstadt,537,695,158
31102023-1914,Karstadt,677,695,18
31102023-1230,Karstadt,487,695,208
17112023-2101,Karstadt,0,0,0
31102023-1221,Karstadt,487,695,208
08112023-1044,Karstadt,479,695,216
06112023-1135,Karstadt,500,695,195
30102023-1644,Karstadt,555,695,140
11112023-0906,Karstadt,643,695,52
20112023-1900,Karstadt,614,695,81
18112023-1031,Karstadt,510,695,185
29102023-2036,Karstadt,0,0,0
04112023-1440,Karstadt,380,695,315
10112023-1740,Karstadt,558,695,137
19112023-1546,Karstadt,0,0,0
10112023-0949,Karstadt,563,695,132
04112023-1839,Karstadt,0,0,0
02112023-1231,Karstadt,485,695,210
03112023-1441,Karstadt,519,695,176
29102023-1721,Karstadt,0,0,0
30102023-1050,Karstadt,492,695,203
15112023-1041,Karstadt,500,695,195
16112023-1145,Karstadt,461,695,234
30102023-0919,Karstadt,627,695,68
12112023-1711,Karstadt,0,0,0
15112023-0946,Karstadt,565,695,130
19112023-0935,Karstadt,0,0,0
15112023-1155,Karstadt,439,695,256
02112023-1430,Karstadt,515,695,180
17112023-1734,Karstadt,526,695,169
16112023-2050,Karstadt,0,0,0
08112023-1120,Karstadt,438,695,257
18112023-1621,Karstadt,370,695,325
12112023-0901,Karstadt,0,0,0
26102023-1635,Karstadt,417,695,278
