timestamp,name,free_spaces,max_spaces,occupied_spaces
04112023-1000,Liebig-Center,242,250,8
09112023-1846,Liebig-Center,243,250,7
12112023-1730,Liebig-Center,242,250,8
08112023-1415,Liebig-Center,236,250,14
07112023-1431,Liebig-Center,238,250,12
11112023-0930,Liebig-Center,236,250,14
18112023-1120,Liebig-Center,233,250,17
02112023-1019,Liebig-Center,233,250,17
05112023-1501,Liebig-Center,234,250,16
01112023-2040,Liebig-Center,241,250,9
12112023-1140,Liebig-Center,240,250,10
26102023-1134,Liebig-Center,242,250,8
29102023-2050,Liebig-Center,246,250,4
17112023-2030,Liebig-Center,240,250,10
19112023-1721,Liebig-Center,239,250,11
30102023-2044,Liebig-Center,244,250,6
08112023-1725,Liebig-Center,237,250,13
16112023-0941,Liebig-Center,239,250,11
20112023-1321,Liebig-Center,225,250,25
05112023-1121,Liebig-Center,236,250,14
17112023-1225,Liebig-Center,238,250,12
11112023-1425,Liebig-Center,240,250,10
28102023-1335,Liebig-Center,241,250,9
19112023-0951,Liebig-Center,241,250,9
11112023-1955,Liebig-Center,244,250,6
12112023-2040,Liebig-Center,244,250,6
15112023-1619,Liebig-Center,232,250,18
11112023-1935,Liebig-Center,244,250,6
31102023-1944,Liebig-Center,243,250,7
25102023-1609,Liebig-Center,239,250,11
18112023-1226,Liebig-Center,234,250,16
19112023-1756,Liebig-Center,241,250,9
05112023-1436,Liebig-Center,234,250,16
26102023-1020,Liebig-Center,242,250,8
27102023-1800,Liebig-Center,238,250,12
04112023-1835,Liebig-Center,243,250,7
15112023-2040,Liebig-Center,242,250,8
17112023-1529,Liebig-Center,234,250,16
04112023-1145,Liebig-Center,242,250,8
31102023-1216,Liebig-Center,242,250,8
01112023-0951,Liebig-Center,240,250,10
14112023-1821,Liebig-Center,239,250,11
10112023-1315,Liebig-Center,239,250,11
07112023-1550,Liebig-Center,238,250,12
16112023-1220,Liebig-Center,237,250,13
27102023-1139,Liebig-Center,240,250,10
13112023-1140,Liebig-Center,240,250,10
04112023-2050,Liebig-Center,243,250,7
01112023-1059,Liebig-Center,236,250,14
20112023-0935,Liebig-Center,231,250,19
14112023-1559,Liebig-Center,235,250,15
19112023-0920,Liebig-Center,242,250,8
26102023-1901,Liebig-Center,242,250,8
12112023-1946,Liebig-Center,243,250,7
04112023-1920,Liebig-Center,243,250,7
08112023-1139,Liebig-Center,234,250,16
29102023-1231,Liebig-Center,238,250,12
27102023-1900,Liebig-Center,240,250,10
20112023-1441,Liebig-Center,228,250,22
02112023-1105,Liebig-Center,230,250,20
25102023-1841,Liebig-Center,241,250,9
30102023-1120,Liebig-Center,241,250,9
18112023-0904,Liebig-Center,236,250,14
28102023-2026,Liebig-Center,242,250,8
31102023-2025,Liebig-Center,243,250,7
18112023-1450,Liebig-Center,232,250,18
26102023-1230,Liebig-Center,243,250,7
29102023-1751,Liebig-Center,240,250,10
08112023-1550,Liebig-Center,234,250,16
26102023-1946,Liebig-Center,245,250,5
28102023-1125,Liebig-Center,235,250,15
12112023-1600,Liebig-Center,238,250,12
31102023-1644,Liebig-Center,241,250,9
28102023-0936,Liebig-Center,237,250,13
30102023-1955,Liebig-Center,245,250,5
02112023-1139,Liebig-Center,232,250,18
01112023-1625,Liebig-Center,238,250,12
03112023-1420,Liebig-Center,240,250,10
05112023-1639,Liebig-Center,238,250,12
14112023-1201,Liebig-Center,229,250,21
30102023-1650,Liebig-Center,244,250,6
07112023-2035,Liebig-Center,240,250,10
01112023-1241,Liebig-Center,239,250,11
