timestamp,name,free_spaces,max_spaces,occupied_spaces
04112023-1000,NeustÃ€dter Tor,564,870,306
09112023-1846,NeustÃ€dter Tor,579,870,291
12112023-1730,NeustÃ€dter Tor,759,870,111
08112023-1415,NeustÃ€dter Tor,565,870,305
07112023-1431,NeustÃ€dter Tor,535,870,335
11112023-0930,NeustÃ€dter Tor,704,870,166
18112023-1120,NeustÃ€dter Tor,242,870,628
02112023-1019,NeustÃ€dter Tor,312,870,558
05112023-1501,NeustÃ€dter Tor,709,870,161
01112023-2040,NeustÃ€dter Tor,740,870,130
12112023-1140,NeustÃ€dter Tor,789,870,81
26102023-1134,NeustÃ€dter Tor,533,870,337
29102023-2050,NeustÃ€dter Tor,792,870,78
17112023-2030,NeustÃ€dter Tor,667,870,203
19112023-1721,NeustÃ€dter Tor,758,870,112
30102023-2044,NeustÃ€dter Tor,711,870,159
08112023-1725,NeustÃ€dter Tor,506,870,364
16112023-0941,NeustÃ€dter Tor,396,870,474
20112023-1321,NeustÃ€dter Tor,408,870,462
05112023-1121,NeustÃ€dter Tor,712,870,158
17112023-1225,NeustÃ€dter Tor,290,870,580
11112023-1425,NeustÃ€dter Tor,80,870,790
28102023-1335,NeustÃ€dter Tor,225,870,645
19112023-0951,NeustÃ€dter Tor,781,870,89
11112023-1955,NeustÃ€dter Tor,680,870,190
12112023-2040,NeustÃ€dter Tor,797,870,73
15112023-1619,NeustÃ€dter Tor,434,870,436
11112023-1935,NeustÃ€dter Tor,652,870,218
31102023-1944,NeustÃ€dter Tor,679,870,191
25102023-1609,NeustÃ€dter Tor,473,870,397
18112023-1226,NeustÃ€dter Tor,92,870,778
19112023-1756,NeustÃ€dter Tor,746,870,124
05112023-1436,NeustÃ€dter Tor,712,870,158
26102023-1020,NeustÃ€dter Tor,652,870,218
27102023-1800,NeustÃ€dter Tor,491,870,379
04112023-1835,NeustÃ€dter Tor,519,870,351
15112023-2040,NeustÃ€dter Tor,704,870,166
17112023-1529,NeustÃ€dter Tor,387,870,483
04112023-1145,NeustÃ€dter Tor,231,870,639
31102023-1216,NeustÃ€dter Tor,313,870,557
01112023-0951,NeustÃ€dter Tor,352,870,518
14112023-1821,NeustÃ€dter Tor,534,870,336
10112023-1315,NeustÃ€dter Tor,458,870,412
07112023-1550,NeustÃ€dter Tor,498,870,372
16112023-1220,NeustÃ€dter Tor,220,870,650
27102023-1139,NeustÃ€dter Tor,471,870,399
13112023-1140,NeustÃ€dter Tor,291,870,579
04112023-2050,NeustÃ€dter Tor,715,870,155
01112023-1059,NeustÃ€dter Tor,205,870,665
20112023-0935,NeustÃ€dter Tor,447,870,423
14112023-1559,NeustÃ€dter Tor,478,870,392
19112023-0920,NeustÃ€dter Tor,783,870,87
26102023-1901,NeustÃ€dter Tor,623,870,247
12112023-1946,NeustÃ€dter Tor,791,870,79
04112023-1920,NeustÃ€dter Tor,632,870,238
08112023-1139,NeustÃ€dter Tor,268,870,602
29102023-1231,NeustÃ€dter Tor,780,870,90
27102023-1900,NeustÃ€dter Tor,569,870,301
20112023-1441,NeustÃ€dter Tor,455,870,415
02112023-1105,NeustÃ€dter Tor,265,870,605
25102023-1841,NeustÃ€dter Tor,594,870,276
30102023-1120,NeustÃ€dter Tor,245,870,625
18112023-0904,NeustÃ€dter Tor,718,870,152
28102023-2026,NeustÃ€dter Tor,756,870,114
31102023-2025,NeustÃ€dter Tor,713,870,157
18112023-1450,NeustÃ€dter Tor,87,870,783
26102023-1230,NeustÃ€dter Tor,504,870,366
29102023-1751,NeustÃ€dter Tor,786,870,84
08112023-1550,NeustÃ€dter Tor,543,870,327
26102023-1946,NeustÃ€dter Tor,678,870,192
28102023-1125,NeustÃ€dter Tor,402,870,468
12112023-1600,NeustÃ€dter Tor,768,870,102
31102023-1644,NeustÃ€dter Tor,508,870,362
28102023-0936,NeustÃ€dter Tor,735,870,135
30102023-1955,NeustÃ€dter Tor,692,870,178
02112023-1139,NeustÃ€dter Tor,284,870,586
01112023-1625,NeustÃ€dter Tor,458,870,412
03112023-1420,NeustÃ€dter Tor,435,870,435
05112023-1639,NeustÃ€dter Tor,742,870,128
14112023-1201,NeustÃ€dter Tor,308,870,562
30102023-1650,NeustÃ€dter Tor,495,870,375
07112023-2035,NeustÃ€dter Tor,688,870,182
01112023-1241,NeustÃ€dter Tor,217,870,653
26102023-1640,NeustÃ€dter Tor,444,870,426
27102023-1540,NeustÃ€dter Tor,413,870,457
18112023-1436,NeustÃ€dter Tor,92,870,778
19112023-1550,NeustÃ€dter Tor,746,870,124
