timestamp,name,free_spaces,max_spaces,occupied_spaces
04112023-1000,Rathaus,186,250,64
09112023-1846,Rathaus,116,250,134
12112023-1730,Rathaus,170,250,80
08112023-1415,Rathaus,37,170,133
07112023-1431,Rathaus,24,170,146
11112023-0930,Rathaus,226,250,24
18112023-1120,Rathaus,150,250,100
02112023-1019,Rathaus,0,0,0
05112023-1501,Rathaus,3,250,247
01112023-2040,Rathaus,142,250,108
12112023-1140,Rathaus,175,250,75
26102023-1134,Rathaus,55,170,115
29102023-2050,Rathaus,144,250,106
17112023-2030,Rathaus,53,250,197
19112023-1721,Rathaus,79,250,171
30102023-2044,Rathaus,160,250,90
08112023-1725,Rathaus,76,170,94
16112023-0941,Rathaus,0,0,0
20112023-1321,Rathaus,62,170,108
05112023-1121,Rathaus,168,250,82
17112023-1225,Rathaus,61,170,109
11112023-1425,Rathaus,132,250,118
28102023-1335,Rathaus,141,250,109
19112023-0951,Rathaus,247,250,3
11112023-1955,Rathaus,71,250,179
12112023-2040,Rathaus,197,250,53
15112023-1619,Rathaus,66,170,104
11112023-1935,Rathaus,91,250,159
31102023-1944,Rathaus,152,250,98
25102023-1609,Rathaus,13,170,157
18112023-1226,Rathaus,119,250,131
19112023-1756,Rathaus,94,250,156
05112023-1436,Rathaus,23,250,227
26102023-1020,Rathaus,80,170,90
27102023-1800,Rathaus,37,170,133
04112023-1835,Rathaus,121,250,129
15112023-2040,Rathaus,97,250,153
17112023-1529,Rathaus,92,170,78
04112023-1145,Rathaus,142,250,108
31102023-1216,Rathaus,8,170,162
01112023-0951,Rathaus,31,170,139
14112023-1821,Rathaus,230,250,20
10112023-1315,Rathaus,69,170,101
07112023-1550,Rathaus,36,170,134
16112023-1220,Rathaus,0,0,0
27102023-1139,Rathaus,72,170,98
13112023-1140,Rathaus,48,170,122
04112023-2050,Rathaus,0,0,0
01112023-1059,Rathaus,3,170,167
20112023-0935,Rathaus,71,170,99
14112023-1559,Rathaus,40,170,130
19112023-0920,Rathaus,248,250,2
26102023-1901,Rathaus,151,250,99
12112023-1946,Rathaus,166,250,84
04112023-1920,Rathaus,104,250,146
08112023-1139,Rathaus,1,170,169
29102023-1231,Rathaus,171,250,79
27102023-1900,Rathaus,125,250,125
20112023-1441,Rathaus,55,170,115
02112023-1105,Rathaus,1,170,169
25102023-1841,Rathaus,131,250,119
30102023-1120,Rathaus,51,170,119
18112023-0904,Rathaus,229,250,21
28102023-2026,Rathaus,62,250,188
31102023-2025,Rathaus,171,250,79
18112023-1450,Rathaus,145,250,105
26102023-1230,Rathaus,56,170,114
29102023-1751,Rathaus,62,250,188
08112023-1550,Rathaus,44,170,126
26102023-1946,Rathaus,148,250,102
28102023-1125,Rathaus,178,250,72
12112023-1600,Rathaus,171,250,79
31102023-1644,Rathaus,81,170,89
28102023-0936,Rathaus,225,250,25
30102023-1955,Rathaus,153,250,97
02112023-1139,Rathaus,2,170,168
01112023-1625,Rathaus,66,170,104
03112023-1420,Rathaus,72,170,98
05112023-1639,Rathaus,21,250,229
14112023-1201,Rathaus,4,170,166
30102023-1650,Rathaus,79,170,91
07112023-2035,Rathaus,143,250,107
01112023-1241,Rathaus,21,170,149
26102023-1640,Rathaus,23,170,147
27102023-1540,Rathaus,46,170,124
18112023-1436,Rathaus,140,250,110
19112023-1550,Rathaus,128,250,122
27102023-1821,Rathaus,124,250,126
10112023-1146,Rathaus,50,170,120
15112023-1221,Rathaus,20,170,150
13112023-1136,Rathaus,48,170,122
27102023-0921,Rathaus,104,170,66
05112023-1609,Rathaus,13,250,237
16112023-2020,Rathaus,135,250,115
16112023-1436,Rathaus,28,170,142
08112023-1944,Rathaus,111,250,139
31102023-1030,Rathaus,5,170,165
26102023-1530,Rathaus,23,170,147
19112023-1225,Rathaus,219,250,31
20112023-2040,Rathaus,168,250,82
04112023-1930,Rathaus,76,250,174
28102023-1315,Rathaus,158,250,92
11112023-1436,Rathaus,134,250,116
13112023-1005,Rathaus,57,170,113
12112023-1239,Rathaus,207,250,43
02112023-1135,Rathaus,0,0,0
28102023-1845,Rathaus,110,250,140
02112023-1806,Rathaus,132,250,118
14112023-1425,Rathaus,43,170,127
27102023-2041,Rathaus,64,250,186
03112023-1815,Rathaus,124,250,126
30102023-1350,Rathaus,83,170,87
29102023-1051,Rathaus,232,250,18
10112023-2055,Rathaus,52,250,198
19112023-1825,Rathaus,107,250,143
08112023-2044,Rathaus,125,250,125
10112023-0930,Rathaus,38,170,132
25102023-2040,Rathaus,159,250,91
05112023-1940,Rathaus,133,250,117
19112023-1520,Rathaus,160,250,90
27102023-0936,Rathaus,93,170,77
31102023-1914,Rathaus,150,250,100
31102023-1230,Rathaus,7,170,163
17112023-2101,Rathaus,55,250,195
31102023-1221,Rathaus,7,170,163
08112023-1044,Rathaus,0,0,0
06112023-1135,Rathaus,19,170,151
30102023-1644,Rathaus,81,170,89
11112023-0906,Rathaus,229,250,21
20112023-1900,Rathaus,186,250,64
18112023-1031,Rathaus,174,250,76
29102023-2036,Rathaus,87,250,163
04112023-1440,Rathaus,128,250,122
10112023-1740,Rathaus,98,170,72
19112023-1546,Rathaus,125,250,125
10112023-0949,Rathaus,67,170,103
04112023-1839,Rathaus,117,250,133
02112023-1231,Rathaus,0,0,0
03112023-1441,Rathaus,74,170,96
29102023-1721,Rathaus,99,250,151
30102023-1050,Rathaus,48,170,122
15112023-1041,Rathaus,14,170,156
16112023-1145,Rathaus,0,0,0
30102023-0919,Rathaus,76,170,94
12112023-1711,Rathaus,174,250,76
15112023-0946,Rathaus,39,170,131
19112023-0935,Rathaus,247,250,3
15112023-1155,Rathaus,6,170,164
02112023-1430,Rathaus,17,170,153
17112023-1734,Rathaus,81,170,89
16112023-2050,Rathaus,128,250,122
08112023-1120,Rathaus,0,0,0
18112023-1621,Rathaus,139,250,111
12112023-0901,Rathaus,248,250,2
26102023-1635,Rathaus,16,170,154
02112023-1334,Rathaus,11,170,159
13112023-1250,Rathaus,66,170,104
20112023-2050,Rathaus,167,250,83
29102023-1650,Rathaus,146,250,104
28102023-1735,Rathaus,124,250,126
14112023-1131,Rathaus,0,0,0
28102023-2051,Rathaus,69,250,181
05112023-1820,Rathaus,57,250,193
28102023-1801,Rathaus,114,250,136
30102023-1426,Rathaus,83,170,87
19112023-1435,Rathaus,174,250,76
13112023-1051,Rathaus,49,170,121
07112023-1521,Rathaus,26,170,144
09112023-1645,Rathaus,4,170,166
25102023-1545,Rathaus,21,170,149
17112023-1446,Rathaus,97,170,73
03112023-0945,Rathaus,36,170,134
13112023-1921,Rathaus,191,250,59
19112023-1250,Rathaus,217,250,33
05112023-2011,Rathaus,150,250,100
30102023-1734,Rathaus,82,170,88
15112023-1204,Rathaus,12,170,158
08112023-1541,Rathaus,40,170,130
29102023-1451,Rathaus,134,250,116
16112023-1930,Rathaus,141,250,109
28102023-1339,Rathaus,137,250,113
28102023-1935,Rathaus,76,250,174
16112023-2009,Rathaus,142,250,108
10112023-1231,Rathaus,58,170,112
12112023-1900,Rathaus,163,250,87
16112023-1614,Rathaus,25,170,145
08112023-1235,Rathaus,12,170,158
28102023-1746,Rathaus,117,250,133
08112023-1225,Rathaus,17,170,153
14112023-1931,Rathaus,231,250,19
14112023-1220,Rathaus,3,170,167
07112023-1825,Rathaus,166,250,84
24102023-2050,Rathaus,176,250,74
25102023-1555,Rathaus,23,170,147
18112023-1839,Rathaus,90,250,160
10112023-1730,Rathaus,102,170,68
06112023-1015,Rathaus,23,170,147
26102023-1925,Rathaus,156,250,94
27102023-1625,Rathaus,64,170,106
14112023-1120,Rathaus,2,170,168
06112023-1844,Rathaus,176,250,74
11112023-1625,Rathaus,155,250,95
05112023-1835,Rathaus,79,250,171
