timestamp,name,free_spaces,max_spaces,occupied_spaces
04112023-1000,Selters Tor,130,158,28
09112023-1846,Selters Tor,119,158,39
12112023-1730,Selters Tor,143,158,15
08112023-1415,Selters Tor,59,158,99
07112023-1431,Selters Tor,45,158,113
11112023-0930,Selters Tor,141,158,17
18112023-1120,Selters Tor,93,158,65
02112023-1019,Selters Tor,5,158,153
05112023-1501,Selters Tor,107,158,51
01112023-2040,Selters Tor,148,158,10
12112023-1140,Selters Tor,146,158,12
26102023-1134,Selters Tor,37,158,121
29102023-2050,Selters Tor,148,158,10
17112023-2030,Selters Tor,142,158,16
19112023-1721,Selters Tor,127,158,31
30102023-2044,Selters Tor,144,158,14
08112023-1725,Selters Tor,93,158,65
16112023-0941,Selters Tor,44,158,114
20112023-1321,Selters Tor,29,158,129
05112023-1121,Selters Tor,109,158,49
17112023-1225,Selters Tor,44,158,114
11112023-1425,Selters Tor,93,158,65
28102023-1335,Selters Tor,98,158,60
19112023-0951,Selters Tor,149,158,9
11112023-1955,Selters Tor,141,158,17
12112023-2040,Selters Tor,148,158,10
15112023-1619,Selters Tor,65,158,93
11112023-1935,Selters Tor,142,158,16
31102023-1944,Selters Tor,145,158,13
25102023-1609,Selters Tor,73,158,85
18112023-1226,Selters Tor,86,158,72
19112023-1756,Selters Tor,127,158,31
05112023-1436,Selters Tor,112,158,46
26102023-1020,Selters Tor,60,158,98
27102023-1800,Selters Tor,116,158,42
04112023-1835,Selters Tor,136,158,22
15112023-2040,Selters Tor,147,158,11
17112023-1529,Selters Tor,71,158,87
04112023-1145,Selters Tor,103,158,55
31102023-1216,Selters Tor,39,158,119
01112023-0951,Selters Tor,23,158,135
14112023-1821,Selters Tor,96,158,62
10112023-1315,Selters Tor,60,158,98
07112023-1550,Selters Tor,43,158,115
16112023-1220,Selters Tor,41,158,117
27102023-1139,Selters Tor,71,158,87
13112023-1140,Selters Tor,15,158,143
04112023-2050,Selters Tor,143,158,15
01112023-1059,Selters Tor,1,158,157
20112023-0935,Selters Tor,29,158,129
14112023-1559,Selters Tor,27,158,131
19112023-0920,Selters Tor,152,158,6
26102023-1901,Selters Tor,128,158,30
12112023-1946,Selters Tor,147,158,11
04112023-1920,Selters Tor,138,158,20
08112023-1139,Selters Tor,22,158,136
29102023-1231,Selters Tor,145,158,13
27102023-1900,Selters Tor,124,158,34
20112023-1441,Selters Tor,11,158,147
02112023-1105,Selters Tor,6,158,152
25102023-1841,Selters Tor,122,158,36
30102023-1120,Selters Tor,31,158,127
18112023-0904,Selters Tor,143,158,15
28102023-2026,Selters Tor,141,158,17
31102023-2025,Selters Tor,147,158,11
18112023-1450,Selters Tor,67,158,91
26102023-1230,Selters Tor,47,158,111
29102023-1751,Selters Tor,144,158,14
08112023-1550,Selters Tor,85,158,73
26102023-1946,Selters Tor,142,158,16
28102023-1125,Selters Tor,102,158,56
12112023-1600,Selters Tor,134,158,24
31102023-1644,Selters Tor,55,158,103
28102023-0936,Selters Tor,135,158,23
30102023-1955,Selters Tor,142,158,16
02112023-1139,Selters Tor,16,158,142
01112023-1625,Selters Tor,71,158,87
03112023-1420,Selters Tor,69,158,89
05112023-1639,Selters Tor,133,158,25
14112023-1201,Selters Tor,4,158,154
30102023-1650,Selters Tor,76,158,82
07112023-2035,Selters Tor,146,158,12
01112023-1241,Selters Tor,20,158,138
26102023-1640,Selters Tor,72,158,86
27102023-1540,Selters Tor,96,158,62
18112023-1436,Selters Tor,67,158,91
19112023-1550,Selters Tor,140,158,18
27102023-1821,Selters Tor,118,158,40
10112023-1146,Selters Tor,42,158,116
15112023-1221,Selters Tor,38,158,120
13112023-1136,Selters Tor,13,158,145
27102023-0921,Selters Tor,108,158,50
05112023-1609,Selters Tor,120,158,38
16112023-2020,Selters Tor,132,158,26
16112023-1436,Selters Tor,27,158,131
08112023-1944,Selters Tor,134,158,24
31102023-1030,Selters Tor,38,158,120
26102023-1530,Selters Tor,71,158,87
19112023-1225,Selters Tor,145,158,13
20112023-2040,Selters Tor,144,158,14
04112023-1930,Selters Tor,137,158,21
28102023-1315,Selters Tor,97,158,61
11112023-1436,Selters Tor,98,158,60
13112023-1005,Selters Tor,16,158,142
12112023-1239,Selters Tor,148,158,10
02112023-1135,Selters Tor,15,158,143
28102023-1845,Selters Tor,129,158,29
02112023-1806,Selters Tor,104,158,54
14112023-1425,Selters Tor,19,158,139
27102023-2041,Selters Tor,127,158,31
03112023-1815,Selters Tor,123,158,35
30102023-1350,Selters Tor,44,158,114
29102023-1051,Selters Tor,147,158,11
10112023-2055,Selters Tor,124,158,34
19112023-1825,Selters Tor,129,158,29
08112023-2044,Selters Tor,145,158,13
10112023-0930,Selters Tor,65,158,93
25102023-2040,Selters Tor,142,158,16
05112023-1940,Selters Tor,148,158,10
19112023-1520,Selters Tor,147,158,11
27102023-0936,Selters Tor,104,158,54
31102023-1914,Selters Tor,132,158,26
31102023-1230,Selters Tor,50,158,108
17112023-2101,Selters Tor,142,158,16
31102023-1221,Selters Tor,45,158,113
08112023-1044,Selters Tor,22,158,136
06112023-1135,Selters Tor,34,158,124
30102023-1644,Selters Tor,75,158,83
11112023-0906,Selters Tor,143,158,15
20112023-1900,Selters Tor,124,158,34
18112023-1031,Selters Tor,112,158,46
29102023-2036,Selters Tor,148,158,10
04112023-1440,Selters Tor,92,158,66
