timestamp,name,free_spaces,max_spaces,occupied_spaces
04112023-1000,Westanlage,217,235,18
09112023-1846,Westanlage,217,235,18
12112023-1730,Westanlage,0,0,0
08112023-1415,Westanlage,217,235,18
07112023-1431,Westanlage,217,235,18
11112023-0930,Westanlage,217,235,18
18112023-1120,Westanlage,217,235,18
02112023-1019,Westanlage,217,235,18
05112023-1501,Westanlage,0,0,0
01112023-2040,Westanlage,217,235,18
12112023-1140,Westanlage,0,0,0
26102023-1134,Westanlage,217,235,18
29102023-2050,Westanlage,0,0,0
17112023-2030,Westanlage,217,235,18
19112023-1721,Westanlage,0,0,0
30102023-2044,Westanlage,217,235,18
08112023-1725,Westanlage,217,235,18
16112023-0941,Westanlage,217,235,18
20112023-1321,Westanlage,217,235,18
05112023-1121,Westanlage,0,0,0
17112023-1225,Westanlage,217,235,18
11112023-1425,Westanlage,217,235,18
28102023-1335,Westanlage,217,235,18
19112023-0951,Westanlage,0,0,0
11112023-1955,Westanlage,217,235,18
12112023-2040,Westanlage,0,0,0
15112023-1619,Westanlage,217,235,18
11112023-1935,Westanlage,217,235,18
31102023-1944,Westanlage,217,235,18
25102023-1609,Westanlage,217,235,18
18112023-1226,Westanlage,217,235,18
19112023-1756,Westanlage,0,0,0
05112023-1436,Westanlage,0,0,0
26102023-1020,Westanlage,217,235,18
27102023-1800,Westanlage,217,235,18
04112023-1835,Westanlage,217,235,18
15112023-2040,Westanlage,217,235,18
17112023-1529,Westanlage,217,235,18
04112023-1145,Westanlage,217,235,18
31102023-1216,Westanlage,217,235,18
01112023-0951,Westanlage,217,235,18
14112023-1821,Westanlage,217,235,18
10112023-1315,Westanlage,217,235,18
07112023-1550,Westanlage,217,235,18
16112023-1220,Westanlage,217,235,18
27102023-1139,Westanlage,217,235,18
13112023-1140,Westanlage,217,235,18
04112023-2050,Westanlage,217,235,18
01112023-1059,Westanlage,217,235,18
20112023-0935,Westanlage,217,235,18
14112023-1559,Westanlage,217,235,18
19112023-0920,Westanlage,0,0,0
26102023-1901,Westanlage,217,235,18
12112023-1946,Westanlage,0,0,0
04112023-1920,Westanlage,217,235,18
08112023-1139,Westanlage,217,235,18
29102023-1231,Westanlage,0,0,0
27102023-1900,Westanlage,217,235,18
20112023-1441,Westanlage,217,235,18
02112023-1105,Westanlage,217,235,18
25102023-1841,Westanlage,217,235,18
30102023-1120,Westanlage,217,235,18
18112023-0904,Westanlage,217,235,18
28102023-2026,Westanlage,217,235,18
31102023-2025,Westanlage,217,235,18
